,Site,Site.abbrev,plot.order,Country,Country.abbrev,Elevation,Latitude,Longitude,Community.Type,Number.of.Species,Site.abbrev2
1,Tamazunchale,Tamazunchale,1,Mexico,MX,138,21.25,-98.78333,1.2,2,Tam
2,Jacala/105 near Tlanchinol,Jacala,2,Mexico,MX,1360,21.01667,-99.2,1.2,2,Jac
3,Tancitaro,Tancitaro,3,Mexico,MX,2083,19.4167,-102.3,1.2,3,Tan
4,Cuernavaca,Cuernavaca,4,Mexico,MX,1500,18.91667,-99.21667,1.4,3,Cue
5,Fortin de las Flores,Fortin,5,Mexico,MX,995,18.9,-96.98333,1.2,2,For
6,Mexico 1,Morelos,6,Mexico,MX,2084,17.9333,-97.2833,1.2,2,Mor
7,Oaxaca,Oaxaca,7,Mexico,MX,1540,17.05,-96.71667,1.2,2,Oax
8,San Cristobal,S Cristobal,8,Mexico,MX,2315,16.73333,-92.68333,1.2,3,S C
9,Las Cruces Arriaga,Las Cruces,9,Mexico,MX,463,16.28333,-93.8,1.2,2,Las
10,Kingston,Kingston,10,Jamaica,JM,4,17.93333333,-76.86666667,1.2,2,Kin
11,Carrefour,Carrefour,11,Haiti,HT,445,19.4,-72.06667,1.2,2,Car
12,San Salvador,S Salvador,12,El Salvador,SV,680,13.7,-89.2,1.2,3,S S
13,Monteverde Cloud Forest Reserve,Monteverde,13,Costa Rica,CR,513,10.0333,-83.45,1.3,2,Mon
14,near San José (San Antonio de Escazú),S Antonio Esc,14,Costa Rica,CR,1038,9.934,-84.133,1.3,3,S A
15,Cartago,Cartago,15,Costa Rica,CR,1884,9.79596,-83.95991,1.3,2,Car
16,Panama 2,B del Toro,16,Panama,PA,180,9.3,-82.53,1.2,2,BdT
17,Barro Colorado,B Colorado,17,Panama,PA,180,9.15472,-79.848056,1.4,4,B C
18,Boquete,Boquete,18,Panama,PA,1295,8.76667,-82.41667,1.3,3,Boq
19,El Valle,El Valle,19,Panama,PA,710,8.61667,-80.15,1.4,3,ElV
20,San Vincente,S Vicente,20,Colombia,CO,985,6.28333,-75.33333,1.2,3,S V
21,Atuncala,Atuncala,21,Colombia,CO,1059,3.76667,-76.7,1.2,2,Atu
22,Rio Calima,R Calima,22,Colombia,CO,1300,3.7,-76.55,1.2,2,Cal
23,"Pt. Lieras, Lomalinda",Pt Lieras,23,Colombia,CO,300,3.3,-73.36667,1.4,2,PtL
24,Sibundoy,Sibundoy,24,Colombia,CO,2160,1.16667,-76.88333,1.2,2,Sib
25,Caripe,Caripe,25,Venezuela,VE,1051,10.16667,-63.5,1.4,2,Car
26,Monagas: Jusépin,Monagas,26,Venezuela,VE,102,9.75,-63.51667,1.4,2,Mon
27,Trinidad and Tobago,Trin Tobago,27,Trinidad and Tobago,TT,220,10.65,-61.283,1.4,3,Tri
28,Suriname 1,Tafelberg NR,28,Suriname,SU,130,4.53,-56.533,4.4,2,Taf
29,Camp Caiman,C Caiman,29,French Guyana,GF,200,4.55,-52.15,1.4,3,C C
30,El Cisne,El Cisne,30,Ecuador,EC,615,0.1493,-79.0317,1.4,3,ElC
31,Pto Quito,Pto Quito,31,Ecuador,EC,560,0.033,-79.25,4.4,2,Pto
32,Baeza,Baeza,32,Ecuador,EC,1850,0.566,-77.7667,1.4,2,Bae
33,Hollin,Hollin,33,Ecuador,EC,1025,-0.695,-77.731,1.4,3,Hol
34,Cocodrilos/El Chaco,Cocodrilos,34,Ecuador,EC,1700,-0.65417,-77.79583,1.3,3,Coc
35,Jatun Sacha/Cuyabeno/Yasuni,Jatun Sacha,35,Ecuador,EC,430,-1.06,-77.617,4.4,3,J S
36,Baños,Banos,36,Ecuador,EC,1850,-1.383,-78.42,1.2,2,Ban
37,Canelos,Canelos,37,Ecuador,EC,1150,-1.61401,-77.84288,1.4,4,Can
38,Suscal-La Troncas Road,La Troncal,38,Ecuador,EC,1176,-2.48692,-79.23265,1.2,2,LaT
39,East of Gualaceo,Gualaceo,39,Ecuador,EC,2752,-2.90278,-78.73472,1.2,2,Gua
40,Oxapampa,Oxapampa,40,Peru,PE,2200,-10.66667,-75.3,1.2,2,Oxa
41,Reserva Cuzco Amazonica,R Cuzco Amaz,41,Peru,PE,250,-12.55,-69.05,4.4,2,Cam
42,Madre de Dios: Zona Reservada Tambopata,Tambopata,42,Peru,PE,290,-12.83333,-69.28333,4.4,3,Cab
43,Cabo Frio Reserve,Cabo Frio,43,Brazil,BR,650,-2.4,-59.86667,4.4,2,Tam
44,Ribeirao Cascalheira,R Cascalheira,44,Brazil,BR,669,-12.81667,-51.76667,4.4,2,Cas
45,Pocone,Pocone,45,Brazil,BR,50,-16.2667,-56.61667,1.4,2,Ter
46,Teresopolis,Teresopolis,46,Brazil,BR,950,-22.4,-42.96667,1.2,2,Tij
47,Parque Nacional de Tijuca,Tijuca,47,Brazil,BR,364,-22.95,-43.26667,1.2,2,Jap
48,Japi,Japi,48,Brazil,BR,763,-23.2,-46.95,1.4,5,Sao
49,Sao Paulo Botanical Garden,Sao Paulo,49,Brazil,BR,742,-23.566667,-46.61667,1.3,4,N T
50,Nova Teutonia,N Teutonia,50,Brazil,BR,370,-27.18333,-52.38333,1.4,3,SAP
51,Santo Antonio de Patrulha,S A Patrulha,51,Brazil,BR,78,-29.81667,-50.5333,1.2,2,A C
52,Alto dos Casemiros,A Casemiros,52,Brazil,BR,60,-30.0333,-52.88333,1.2,3,Poc
53,E of Pelotas,Pelotas,53,Brazil,BR,0,-31.76667,-52.31667,1.2,4,Pel
